comment_thread_id,video_id,author_display_name,text_original,cleaned_text,text_length,like_count,total_reply_count,manual_label,manual_label_normalized,lexicon_predicted_label
UgwtJBmTQ6eZbdTxu3N4AaABAg,AL0AGaoJCWY,@rocco7919,KNICKS BABY!!!!!!!,knicks baby!!!!!!!,18,0,0,Positif,positive,neutral
UgxpMopuzPOm_7vZHfB4AaABAg,AL0AGaoJCWY,@KristaQuinlan,What a comeback,what a comeback,15,1,0,Positif,positive,neutral
Ugxv_4Pml44w7W8ZzYl4AaABAg,AL0AGaoJCWY,@eyeglassesstringmusic,Man I played halftime shows for the Knicks last season it was a dream come true… wish I was there again 🏀🎻 Brunson and Townes INSANE,man i played halftime shows for the knicks last season it was a dream come true… wish i was there again 🏀🎻 brunson and townes insane,132,1,0,Positif,positive,positive
Ugx-CCF2SiHM6jytOxV4AaABAg,AL0AGaoJCWY,@ferbinramos,its my idol #Jalenbrunson un belivebable!!!,its my idol #jalenbrunson un belivebable!!!,43,0,0,Positif,positive,neutral
UgwaqKONll1YVtvDnzp4AaABAg,AL0AGaoJCWY,@NasnaEnt,Vegas knew lotta people were gonna bet on spurs winning game 1 at home 😂,vegas knew lotta people were gonna bet on spurs winning game 1 at home 😂,72,0,0,Negatif,negative,positive
UgxM5qEkR-UocCbmaY54AaABAg,AL0AGaoJCWY,@CgRoc,Even tho knicks not my team i’m from the east coast so i’m going for em but i would like to see Wemby get a ring i don’t really care who wins but i hope we get a game 7,even tho knicks not my team i’m from the east coast so i’m going for em but i would like to see wemby get a ring i don’t really care who wins but i hope we get a game 7,168,0,0,Positif,positive,neutral
UgwpcuE7TRCY4lYFxUh4AaABAg,AL0AGaoJCWY,@erniegumban2798,15 Rebs!? Josh hart damn what a player! ❤,15 rebs!? josh hart damn what a player! ❤,41,1,0,Positif,positive,neutral
Ugw-4iX8Fa-N3WpS3bd4AaABAg,AL0AGaoJCWY,@Ryan-wx1bi,Wemby was looking more like Bambi on offense out there,wemby was looking more like bambi on offense out there,54,2,0,Negatif,negative,neutral
Ugyr8LV2vvljJ2BK22B4AaABAg,AL0AGaoJCWY,@latindoggy8059,EVERYTHING WAS SHAPING UP TO A KNICKS LOST STATISTICALLY SPEAKING THIS IS A SPURS WIN BUT THE CLUTCH KNICKS TAKE IT AGAIN!,everything was shaping up to a knicks lost statistically speaking this is a spurs win but the clutch knicks take it again!,122,0,0,Positif,positive,positive
UgxsORARt_6F_GZVZct4AaABAg,AL0AGaoJCWY,@ryansimmons3818,"Jalen Brunson really is that dude, man.","jalen brunson really is that dude, man.",39,0,0,Positif,positive,neutral
Ugwaa1I0aPpVgqTt1Ox4AaABAg,AL0AGaoJCWY,@LitoviusSupreme,Villanova 1 - Spurs 0,villanova 1 - spurs 0,21,0,0,Positif,positive,neutral
UgyWZRoGV8AhsZ_BPYN4AaABAg,AL0AGaoJCWY,@jeremytriguero2196,The opening sound for the knicks sucks,the opening sound for the knicks sucks,38,0,0,Negatif,negative,neutral
UgwnNLoEvRmVqB0KKyN4AaABAg,AL0AGaoJCWY,@Real.Kai.1,Yeah the circus clown music introducing the Knicks players was great. Lol,yeah the circus clown music introducing the knicks players was great. lol,73,1,0,Negatif,negative,positive
UgzLYgXB9DsOnX38qU54AaABAg,AL0AGaoJCWY,@paultrigger3798,very nice watching a quality basketball game without a bunch of bs flopping from okc,very nice watching a quality basketball game without a bunch of bs flopping from okc,84,0,0,Positif,positive,neutral
Ugx1XpL2MW4I-GXExRF4AaABAg,AL0AGaoJCWY,@CharlitaWright-yw6wm,"Altho I was rooting for OKC, this looks like it's going to be a good series & may the best team win.  I'm enjoying watching both teams 👍","altho i was rooting for okc, this looks like it's going to be a good series & may the best team win.  i'm enjoying watching both teams 👍",136,0,0,Positif,positive,positive
UgwzmVLNPqtrYdULNdJ4AaABAg,AL0AGaoJCWY,@kyled1795,Wtf is this spongebob intro,wtf is this spongebob intro,27,0,0,Negatif,negative,neutral
UgwQvAQ8sC3Phj17n5h4AaABAg,AL0AGaoJCWY,@markpaul6735,JBBB U DAT BOII,jbbb u dat boii,15,0,0,Positif,positive,neutral
UgzmPWoHiJu1KCk7LlJ4AaABAg,AL0AGaoJCWY,@InfamousMacBoxing,"OKC fan here. Yea it's still orange and blue love. Plus WHO TF is a San Antonio fan anyway? Lmfao like literally. Who's from S.A.??? NY is much better for 🏀 than SA.

NY sweeping these b*tch a$$ MFS
Go NY Go NY Go!!

I want the same hate SGA got to go towards Wendy. Because bro is so trash. Flopping just for free buckets. Bro had 14ft. Lol same amount of ft across the entire NY starting line up. FOH. 

Spurs has zero enforcers. Starters are wore out! Spurs entire starting line averaged over 35mins 🤣. Them boys Tiiireed! Zero help from bench. They can't do it all. Their Bench 🚮","okc fan here. yea it's still orange and blue love. plus who tf is a san antonio fan anyway? lmfao like literally. who's from s.a.??? ny is much better for 🏀 than sa.

ny sweeping these b*tch a$$ mfs
go ny go ny go!!

i want the same hate sga got to go towards wendy. because bro is so trash. flopping just for free buckets. bro had 14ft. lol same amount of ft across the entire ny starting line up. foh. 

spurs has zero enforcers. starters are wore out! spurs entire starting line averaged over 35mins 🤣. them boys tiiireed! zero help from bench. they can't do it all. their bench 🚮",583,1,0,Negatif,negative,negative
UgzuVqhM13OvenHYWUR4AaABAg,AL0AGaoJCWY,@angelobrodie9415,The moment too big for the young spurs. Knicks in six.,the moment too big for the young spurs. knicks in six.,54,0,0,Negatif,negative,neutral
UgwD5nIii09FvBictrV4AaABAg,AL0AGaoJCWY,@Eazyset,"Im a die hard KNICK FAN from Brooklyn NY, First half I was punch the air.. 😅😅","im a die hard knick fan from brooklyn ny, first half i was punch the air.. 😅😅",77,0,0,Negatif,negative,positive
UgzSt4B96PjgtMOW52R4AaABAg,AL0AGaoJCWY,@inthemeantime-z2u,Spurs are that corny,spurs are that corny,20,0,0,Negatif,negative,neutral
UgygrUk4zVuqbRl0RJV4AaABAg,AL0AGaoJCWY,@GaryHest,jalen brunson's handles and ball control are definitely up there with kyrie's,jalen brunson's handles and ball control are definitely up there with kyrie's,77,0,0,Positif,positive,neutral
UgxPQJhInZdMHQTLTvF4AaABAg,AL0AGaoJCWY,@viatrix_19,Former Toronto Raptors OG Anunoby finally experienced the NBA Finals in 2026. He did not play in the NBA Finals 2019 because of the emergency appendectomy surgery he underwent before the 2019 post-season started.,former toronto raptors og anunoby finally experienced the nba finals in 2026. he did not play in the nba finals 2019 because of the emergency appendectomy surgery he underwent before the 2019 post-season started.,212,0,0,Neutral,neutral,neutral
Ugxl23vFDvT74erQ25t4AaABAg,AL0AGaoJCWY,@OffHandGorgon8,The Knicks is running all over Victor Wembanyama. They going right at him,the knicks is running all over victor wembanyama. they going right at him,73,0,0,Positif,positive,neutral
UgxUH8npuoV_BxjeBPB4AaABAg,AL0AGaoJCWY,@baronnucleus401,Brunson gets it done in crunch time. Dude is a baller,brunson gets it done in crunch time. dude is a baller,53,0,0,Positif,positive,neutral
Ugzc7-G_pDeC8xzxzoN4AaABAg,AL0AGaoJCWY,@jamisonlamkin5576,Thank you Danhausen,thank you danhausen,19,0,0,Positif,positive,neutral
UgyWfpeLSe9o9L4Pow94AaABAg,AL0AGaoJCWY,@PrinceAli628,"I am so happy and excited, I haven't been this excited for basketball in YEARS! MAY THE BEST TEAM WIN CAUSE I LOVE'EM BOTH!","i am so happy and excited, i haven't been this excited for basketball in years! may the best team win cause i love'em both!",123,2,0,Positif,positive,positive
Ugz7mr_uYgLwyBZAM1F4AaABAg,AL0AGaoJCWY,@sluushystar,Spurs HAVE to do better on rebounding. They were giving way too many second chance buckets.,spurs have to do better on rebounding. they were giving way too many second chance buckets.,91,0,0,Negatif,negative,neutral
UgySCmrvKdnr2eBs60B4AaABAg,AL0AGaoJCWY,@ZeldonSinghIsFly27.,KNICKS BUSINESS MODEL IS 2 STARS SURROUNDED BY VET MINIMUMZ EVERYONE KNOWS THEIR ROLE. BRUNSON IS THE CATALYST KNICKS BECAME RELEVANT WHEN HE WENT THERE UNFORTUNATELY SPURS DID NOT PLAY PROPERLY GAME 2 SHOULD WIN.,knicks business model is 2 stars surrounded by vet minimumz everyone knows their role. brunson is the catalyst knicks became relevant when he went there unfortunately spurs did not play properly game 2 should win.,213,0,0,Neutral,neutral,positive
Ugw4P4H63gsm-eXB2ep4AaABAg,AL0AGaoJCWY,@DavidBrazell-b8o,Knicks winning it all in 5,knicks winning it all in 5,26,0,0,Positif,positive,positive
Ugzr_gaJhcMC56c_MEF4AaABAg,AL0AGaoJCWY,@nannoc,#KNICKSIN4,#knicksin4,10,0,0,Positif,positive,neutral
UgxrZwT_Sb89eI_3m2l4AaABAg,AL0AGaoJCWY,@hgent6626,"Boii killed with a tweaked knee 😂 

#LETSGOKNICKS","boii killed with a tweaked knee 😂 

#letsgoknicks",49,0,0,Positif,positive,neutral
UgxJ0MvZx0Yuj8v_GpV4AaABAg,AL0AGaoJCWY,@Officialharrison-fry,GO KNICKS IN 4 BABY,go knicks in 4 baby,19,1,0,Positif,positive,neutral
Ugwku8JnManHLKyM4sB4AaABAg,AL0AGaoJCWY,@adamroberts5584,The Knicks are on fire right now! 👀🔥🔥,the knicks are on fire right now! 👀🔥🔥,37,50,1,Positif,positive,positive
UgymrPoD9AVjzhN7ZOd4AaABAg,AL0AGaoJCWY,@DaytonaDes,Damn Wemby let the nuns down 😭😭,damn wemby let the nuns down 😭😭,31,0,0,Negatif,negative,neutral
Ugw2aAOEKJ0-qdTvNw14AaABAg,AL0AGaoJCWY,@RickyRobinson-g2i,JALEN BRUNSON is that DUDE...,jalen brunson is that dude...,29,0,0,Positif,positive,neutral
UgwioypKNLSdZaFwt2V4AaABAg,AL0AGaoJCWY,@michaelcastillo364,Don’t worry. The spike Lee curse will kick in.,don’t worry. the spike lee curse will kick in.,46,0,0,Negatif,negative,neutral
Ugx5OVdfatINgTOOPQt4AaABAg,AL0AGaoJCWY,@zildjandeiparine1963,Danhausen curse is still in effect,danhausen curse is still in effect,34,0,0,Negatif,negative,neutral
UgyNbyyx-Ts_dcOwZ754AaABAg,AL0AGaoJCWY,@albertojlorenzorosario2759,"I don't follow basketball or care about any of the teams but seeing this game I felt the magic the Knicks have, rooting for them!","i don't follow basketball or care about any of the teams but seeing this game i felt the magic the knicks have, rooting for them!",129,0,0,Positif,positive,neutral
Ugw0N1byDxRC6MbYMwZ4AaABAg,AL0AGaoJCWY,@dongotzki1019,"No injured players, no flopping just pure basketball ❤","no injured players, no flopping just pure basketball ❤",54,0,0,Positif,positive,positive
UgzaLoxLhPf8TMfSVk94AaABAg,AL0AGaoJCWY,@max1mu5dc,"Honestly, the Spurs deserved to lose. The coach couldn’t adjust and kept settling for kick-outs and 3s.","honestly, the spurs deserved to lose. the coach couldn’t adjust and kept settling for kick-outs and 3s.",103,0,0,Negatif,negative,neutral
UgxFT58zxIfl2IKsJLx4AaABAg,AL0AGaoJCWY,@paxcssr,Where are the Nuns?,where are the nuns?,19,0,0,Neutral,neutral,neutral
